listing_id,listing,advertised_price,rent_low,rent_high,midpoint,main_distance_miles,main_distance_band,original_listing_url
ocpwwwe8yh,FURNISHED TOWNHOME RENTAL – 10 Mins to NCSU - 3 Bedroom - starting $750 per room,$750,750.00,750.00,750.00,4.072730365,>3–5 mi,https://offcampus.dasa.ncsu.edu/housing/property/furnished-townhome-rental-10-mins-to-ncsu-3-bedroom-starting-750-per-room/ocpwwwe8yh
5je4q3n,Signature 1505,"$650 - $1,305",650.00,1305.00,977.50,1.339579030,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/signature-1505/5je4q3n
h2l8mh2,Redfield Villages,$799 - $899,799.00,899.00,849.00,0.562960879,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/redfield-villages/h2l8mh2
ocpszex2v4,Spacious bedroom with private bath in 2BR townhome – 5 minutes to NC State,$800,800.00,800.00,800.00,0.541658593,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/spacious-bedroom-with-private-bath-in-2br-townhome-5-minutes-to-nc-state/ocpszex2v4
jjs8f07,Village Green Student Housing,$649 - $839,649.00,839.00,744.00,1.932509975,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/village-green-student-housing/jjs8f07
0pm7tt3,Campus West at Tryon,$699,699.00,699.00,699.00,2.874120418,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/campus-west-at-tryon/0pm7tt3
ocpbhbkvy9,Voyager House,$800,800.00,800.00,800.00,1.884049975,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/voyager-house/ocpbhbkvy9
e13mz5m,University Suites Student Housing,$699 - $799,699.00,799.00,749.00,2.292134880,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/university-suites-student-housing/e13mz5m
ocpepvxvln,Village Green Student Living,$831,831.00,831.00,831.00,1.815869405,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/village-green-student-living/ocpepvxvln
ocpgxr290w,Spacious Forest Park Two-Room Suite + Private Bath - Walk to Campus (Includes Utilities),"$1,225",1225.00,1225.00,1225.00,1.604060636,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/spacious-forest-park-two-room-suite-private-bath-walk-to-campus-includes-utilities/ocpgxr290w
ocpsd8dpj6,Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community,$900,900.00,900.00,900.00,2.725369678,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/spacious-en-suite-with-private-patio-and-garage-parking-in-crescent-ridge-townhome-community/ocpsd8dpj6
xcp87fm,Tryon Flats Apartments,$750,750.00,750.00,750.00,2.493227860,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/tryon-flats-apartments/xcp87fm
ocpsq86tm4,4bed 4bath Apartment Near Centennial Campus,$725,725.00,725.00,725.00,1.590319281,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/4bed-4bath-apartment-near-centennial-campus/ocpsq86tm4
ocp2gxtxqc,The Station,$969,969.00,969.00,969.00,2.152909218,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/the-station/ocp2gxtxqc
pxc3rhs,Room in Condo on Crab Orchard Dr,$675,675.00,675.00,675.00,1.660043019,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-crab-orchard-dr/pxc3rhs
ocppbmmgnt,5 bedroom townhome available near NC State,$650,650.00,650.00,650.00,2.375235559,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/5-bedroom-townhome-available-near-nc-state/ocppbmmgnt
ocp176ghy4,Campus Crossings Raleigh,$865,865.00,865.00,865.00,2.375099776,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/campus-crossings-raleigh/ocp176ghy4
ocpx51p4tm,Condo near NCSU,$800,800.00,800.00,800.00,1.625432361,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/condo-near-ncsu/ocpx51p4tm
x5wd0zn,Room in House on Pineland Cir,$700,700.00,700.00,700.00,1.688144235,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-house-on-pineland-cir/x5wd0zn
ocphdtdgk2,105 Friendly Drive! Furnished Room Rentals with Utilities!,"$775 - $1,050",775.00,1050.00,912.50,0.734302196,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/105-friendly-drive-furnished-room-rentals-with-utilities/ocphdtdgk2
ocp4lh373j,"Hub Raleigh – 4x2 Lease Takeover, Available Now","$1,199",1199.00,1199.00,1199.00,1.249575868,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/hub-raleigh-4x2-lease-takeover-available-now/ocp4lh373j
ocp5cx5drn,Valentine Commons,"$1,000 - $1,300",1000.00,1300.00,1150.00,0.636006642,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/valentine-commons/ocp5cx5drn
se736e5,College Inn,"$859 - $1,275",859.00,1275.00,1067.00,0.246460777,0–1 mi,https://offcampus.dasa.ncsu.edu/housing/property/college-inn/se736e5
ocp1ddchy6,Village Green,$930,930.00,930.00,930.00,1.966488918,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/village-green/ocp1ddchy6
kf77vv8,Room in Condo on Collegiate Cir,$675,675.00,675.00,675.00,1.630531465,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-condo-on-collegiate-cir/kf77vv8
ocphycq162,Cozy house 10 min walk to campus,"$1,500",1500.00,1500.00,1500.00,1.258758084,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/cozy-house-10-min-walk-to-campus/ocphycq162
hz5leg1,Room in Townhome on Ivory Run Way,$690,690.00,690.00,690.00,2.412561562,>1–3 mi,https://offcampus.dasa.ncsu.edu/housing/property/room-in-townhome-on-ivory-run-way/hz5leg1
