property_name,listing_number,listing_latitude,listing_longitude,campus_latitude,campus_longitude,distance_from_reference_miles,distance_to_nearest_boundary_feet
Campus Crossings Raleigh,62,35.744806,-78.687537,35.77951,-78.68168,2.420199,3061.3
FURNISHED NCSU STUDENT HOUSING – TOWNHOME ROOM RENTAL WITH PRIVATE BATHROOM ($850/room),63,35.784785,-78.724642,35.77951,-78.68168,2.435521,2980.4
Tryon Flats Apartments,64,35.743632,-78.686435,35.77951,-78.68168,2.493228,2675.8
"2626 Wolf Cub Ct (Raleigh, NC)",65,35.74314,-78.682772,35.77951,-78.68168,2.513673,2567.8
Paloma Raleigh,66,35.785778,-78.727869,35.77951,-78.68168,2.624931,1980.4
"1233 S Blount St (Raleigh, NC)",67,35.765117,-78.637201,35.77951,-78.68168,2.684431,1666.2
Redpoint Raleigh,68,35.785793,-78.729156,35.77951,-78.68168,2.696273,1603.7
Spacious En-suite with private patio and garage parking in Crescent Ridge Townhome Community,69,35.749844,-78.713718,35.77951,-78.68168,2.72537,1450.0
"Bright 2 BR, 2 BA unit in vibrant Person St district",70,35.789176,-78.634239,35.77951,-78.68168,2.741666,1364.0
Brook Hill Townhouse - Students Save Up to 10%,71,35.769074,-78.731014,35.77951,-78.68168,2.857987,749.8
Campus West at Tryon,72,35.749441,-78.717104,35.77951,-78.68168,2.87412,664.6
Huge modern studio suite- private entrance and beth- near NCSU,73,35.822478,-78.680244,35.77951,-78.68168,2.969896,158.9
