site_id,property_name,college_id,college_name,distance_miles,is_target
"ocpjeweyz6","All Girls Unit - Room with Private Bathroom at  University Woods at Centennial Condominiums","511","1060 William Moore Dr","5.08","false"
"0smdl31","Paloma Raleigh","354","2610 Cates Avenue","2.28","true"
"0smdl31","Paloma Raleigh","355","1070 Partners Way","2.69","false"
"0smdl31","Paloma Raleigh","511","1060 William Moore Dr","1.58","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","354","2610 Cates Avenue","0.26","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","355","1070 Partners Way","0.49","false"
"ocppjxdd3r","Collegeview Duplex--Brand New Luxury Housing within walking distance to NCSU","511","1060 William Moore Dr","2.12","false"
"hgdd8s0","Lantower Bullhouse","354","2610 Cates Avenue","21.13","false"
"hgdd8s0","Lantower Bullhouse","355","1070 Partners Way","24.5","false"
"hgdd8s0","Lantower Bullhouse","511","1060 William Moore Dr","18.98","true"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","354","2610 Cates Avenue","0.09","false"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","355","1070 Partners Way","0.44","false"
"ocpe1n95cm","Big Promotion w/best price ever. Move in Immediately . MarcomTowns. Great location nice","511","1060 William Moore Dr","1.92","false"
"p8mlexs","Valentine Commons","354","2610 Cates Avenue","0.01","true"
"p8mlexs","Valentine Commons","355","1070 Partners Way","1.09","false"
"p8mlexs","Valentine Commons","511","1060 William Moore Dr","1.47","false"
"ocp2evl6hb","University Oaks -","354","2610 Cates Avenue","0.24","false"
"ocp2evl6hb","University Oaks -","355","1070 Partners Way","0.81","false"
"ocp2evl6hb","University Oaks -","511","1060 William Moore Dr","1.6","false"
"fgrbwjv","Stanhope","354","2610 Cates Avenue","0.05","true"
"fgrbwjv","Stanhope","355","1070 Partners Way","1.21","false"
"fgrbwjv","Stanhope","511","1060 William Moore Dr","1.39","false"
"ocpvlydr3e","Reavis ---Brand New Luxury Housing within walking distance to NCSU","354","2610 Cates Avenue","0.32","false"
"ocpvlydr3e","Reavis ---Brand New Luxury Housing within walking distance to NCSU","355","1070 Partners Way","1.33","false"
"ocpvlydr3e","Reavis ---Brand New Luxury Housing within walking distance to NCSU","511","1060 William Moore Dr","1.31","false"
"86fjg60","HeyDay Raleigh","354","2610 Cates Avenue","0","true"
"86fjg60","HeyDay Raleigh","355","1070 Partners Way","1.11","false"
"86fjg60","HeyDay Raleigh","511","1060 William Moore Dr","1.49","false"
"ocpxdxd79p","4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus","354","2610 Cates Avenue","0.5","false"
"ocpxdxd79p","4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus","355","1070 Partners Way","0.66","false"
"ocpxdxd79p","4BR/4BA Condo| On Wolfline | Preleasing 27-28 Special $850 Util/Parking Incld | Mile to Campus","511","1060 William Moore Dr","2.29","false"
"9de4we5","LYV Woodcroft at Southpoint","354","2610 Cates Avenue","19.38","false"
"9de4we5","LYV Woodcroft at Southpoint","355","1070 Partners Way","22.74","false"
"9de4we5","LYV Woodcroft at Southpoint","511","1060 William Moore Dr","17.22","true"
"ocpm68s5sh","Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU","354","2610 Cates Avenue","0.29","false"
"ocpm68s5sh","Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU","355","1070 Partners Way","0.4","false"
"ocpm68s5sh","Burt Drive Townhouses---Brand New Luxury Housing within walking distance to NCSU","511","1060 William Moore Dr","2.15","false"
"gky0hgw","Willow Bend Apartments","354","2610 Cates Avenue","22.93","false"
"gky0hgw","Willow Bend Apartments","355","1070 Partners Way","26.26","false"
"gky0hgw","Willow Bend Apartments","511","1060 William Moore Dr","20.74","true"
"ocpd8x87kh","New Construction: 4 Bed 4.5 Bath Townhomes","354","2610 Cates Avenue","0.24","false"
"ocpd8x87kh","New Construction: 4 Bed 4.5 Bath Townhomes","355","1070 Partners Way","0.76","false"
"ocpd8x87kh","New Construction: 4 Bed 4.5 Bath Townhomes","511","1060 William Moore Dr","2.04","false"
"v534e5d","Kensington Park","354","2610 Cates Avenue","0.48","false"
"v534e5d","Kensington Park","355","1070 Partners Way","0.09","true"
"v534e5d","Kensington Park","511","1060 William Moore Dr","2.54","false"
"ocp913l1z6","** WAITLIST for 2026-2027 ** 4 Bedroom, 4.5 Bathroom Unit Near NCSU Campus and Cup A Joe","354","2610 Cates Avenue","0.3","false"
"ocp913l1z6","** WAITLIST for 2026-2027 ** 4 Bedroom, 4.5 Bathroom Unit Near NCSU Campus and Cup A Joe","355","1070 Partners Way","1.35","false"
"ocp913l1z6","** WAITLIST for 2026-2027 ** 4 Bedroom, 4.5 Bathroom Unit Near NCSU Campus and Cup A Joe","511","1060 William Moore Dr","1.42","false"
"0zm5l03","616 at the Village","354","2610 Cates Avenue","0.67","true"
"0zm5l03","616 at the Village","355","1070 Partners Way","1.37","false"
"0zm5l03","616 at the Village","511","1060 William Moore Dr","3.42","false"
"ocp2k0px98","Liberty station male only townhome- 5 miles from Centennial","354","2610 Cates Avenue","5.44","false"
"ocp2k0px98","Liberty station male only townhome- 5 miles from Centennial","355","1070 Partners Way","3.02","false"
"ocp2k0px98","Liberty station male only townhome- 5 miles from Centennial","511","1060 William Moore Dr","7.44","false"
"z8cfdjw","Campus Crossings Raleigh","354","2610 Cates Avenue","2.96","true"
"z8cfdjw","Campus Crossings Raleigh","355","1070 Partners Way","6.62","false"
"z8cfdjw","Campus Crossings Raleigh","511","1060 William Moore Dr","7.28","false"
"ocp6mp93ms","Newly Renovated - All Girls Unit Room with Private Bathroom","354","2610 Cates Avenue","2.19","false"
"ocp6mp93ms","Newly Renovated - All Girls Unit Room with Private Bathroom","355","1070 Partners Way","0.92","false"
"ocp6mp93ms","Newly Renovated - All Girls Unit Room with Private Bathroom","511","1060 William Moore Dr","5.26","false"
"75medjw","Brickside","354","2610 Cates Avenue","0.38","true"
"75medjw","Brickside","355","1070 Partners Way","1.19","false"
"75medjw","Brickside","511","1060 William Moore Dr","1.77","false"
"ocp6wsb4yt","We have 1 bedroom open In a luxury 5 bed 5 full bath house 1/1/27-6/30/27","354","2610 Cates Avenue","1.3","false"
"ocp6wsb4yt","We have 1 bedroom open In a luxury 5 bed 5 full bath house 1/1/27-6/30/27","355","1070 Partners Way","2.16","false"
"ocp6wsb4yt","We have 1 bedroom open In a luxury 5 bed 5 full bath house 1/1/27-6/30/27","511","1060 William Moore Dr","1.12","false"
"tv2h1cb","Gorman Crossings","354","2610 Cates Avenue","0.78","false"
"tv2h1cb","Gorman Crossings","355","1070 Partners Way","0.17","true"
"tv2h1cb","Gorman Crossings","511","1060 William Moore Dr","2.39","false"
"ocpbp1v5c9","Prime ITB location one block off Ridge Road","354","2610 Cates Avenue","1.14","false"
"ocpbp1v5c9","Prime ITB location one block off Ridge Road","355","1070 Partners Way","2.58","false"
"ocpbp1v5c9","Prime ITB location one block off Ridge Road","511","1060 William Moore Dr","1.21","false"
"5x5ph7m","Redpoint Raleigh","354","2610 Cates Avenue","2.38","false"
"5x5ph7m","Redpoint Raleigh","355","1070 Partners Way","2.79","false"
"5x5ph7m","Redpoint Raleigh","511","1060 William Moore Dr","1.61","true"
"ocp5z7c91m","$300 off 1st month's rent! Spacious 3BD/2.5BA Townhome Rental available near NCSU for fall semester!","354","2610 Cates Avenue","0.87","false"
"ocp5z7c91m","$300 off 1st month's rent! Spacious 3BD/2.5BA Townhome Rental available near NCSU for fall semester!","355","1070 Partners Way","0.53","false"
"ocp5z7c91m","$300 off 1st month's rent! Spacious 3BD/2.5BA Townhome Rental available near NCSU for fall semester!","511","1060 William Moore Dr","2.48","false"
"syvz9l4","The Wilde","354","2610 Cates Avenue","2.25","true"
"syvz9l4","The Wilde","355","1070 Partners Way","6.49","false"
"syvz9l4","The Wilde","511","1060 William Moore Dr","5.18","false"
"ocph8n0fc0","Affordable Student Housing 1 Block from Campus on Wolf Line","354","2610 Cates Avenue","0.24","false"
"ocph8n0fc0","Affordable Student Housing 1 Block from Campus on Wolf Line","355","1070 Partners Way","0.81","false"
"ocph8n0fc0","Affordable Student Housing 1 Block from Campus on Wolf Line","511","1060 William Moore Dr","1.61","false"
"61y0ywr","Hub Raleigh","354","2610 Cates Avenue","0.24","true"
"61y0ywr","Hub Raleigh","355","1070 Partners Way","0.96","false"
"61y0ywr","Hub Raleigh","511","1060 William Moore Dr","2.41","false"
"ocp1tnqde5","2 blocks from central campus, 2 blocks from Village District!","354","2610 Cates Avenue","0.24","false"
"ocp1tnqde5","2 blocks from central campus, 2 blocks from Village District!","355","1070 Partners Way","0.93","false"
"ocp1tnqde5","2 blocks from central campus, 2 blocks from Village District!","511","1060 William Moore Dr","2.21","false"
"dw0f7sh","Campus Edge","354","2610 Cates Avenue","2.11","false"
"dw0f7sh","Campus Edge","355","1070 Partners Way","0","true"
"dw0f7sh","Campus Edge","511","1060 William Moore Dr","3.95","false"
"ocp85fz0j3","Brand-New 4BR Townhomes - Eight at State","354","2610 Cates Avenue","0.36","false"
"ocp85fz0j3","Brand-New 4BR Townhomes - Eight at State","355","1070 Partners Way","1.39","false"
"ocp85fz0j3","Brand-New 4BR Townhomes - Eight at State","511","1060 William Moore Dr","1.35","false"
