site_id,property_name,category_id,category_name,amenity_id,amenity_name
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Security","Security","99","Exterior Lighting"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Security","Security","25","Security System"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Security","Security","98","Video Surveillance"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Community Features","Community Features","81","Elevator"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Community Features","Community Features","46","Individual Leases"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Community Features","Community Features","43","International Student Friendly"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Community Features","Community Features","19","Near Bus Stop"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Community Features","Community Features","103","Walk to campus"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Laundry","Laundry","104","Laundry Access"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Laundry","Laundry","9","Washer/Dryer in Unit"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Convenient For","Convenient For","981","Undergraduates"
"ocpet5b7hm","Modern/High Ceilings 2bed/2 bath","Convenient For","Convenient For","982","Graduate Students"
"59xvx3n","Aventura RTP","Lease Information","Lease Information","16","12 month lease"
"59xvx3n","Aventura RTP","Lease Information","Lease Information","17","9 month lease"
"59xvx3n","Aventura RTP","Lease Information","Lease Information","18","Flexible/Other lease"
"59xvx3n","Aventura RTP","Lease Information","Lease Information","42","Short-Term lease"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","1","Air Conditioning"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","20","Carpet"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","26","Dishwasher"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","80","Extra Storage"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","8","Fireplace"
"59xvx3n","Aventura RTP","Unit Features","Unit Features","82","Garbage Disposal"
